"lon","lat","spatial_effect"
-120.53781512605,25.9493670886076,2.17142085851424
-120.042016806723,25.9493670886076,1.97953215571843
-119.546218487395,25.9493670886076,1.78572405315502
-119.050420168067,25.9493670886076,1.59158452289962
-118.55462184874,25.9493670886076,1.39881049162647
-118.058823529412,25.9493670886076,1.20913831342934
-117.563025210084,25.9493670886076,1.02426211496355
-117.067226890756,25.9493670886076,0.845747739252823
-116.571428571429,25.9493670886076,0.674950855171217
-116.075630252101,25.9493670886076,0.512946937216054
-115.579831932773,25.9493670886076,0.360478659397114
-115.084033613445,25.9493670886076,0.21792373887541
-114.588235294118,25.9493670886076,0.0852845099427708
-114.09243697479,25.9493670886076,-0.0377997494962075
-113.596638655462,25.9493670886076,-0.152015597620751
-113.100840336134,25.9493670886076,-0.258309727703854
-112.605042016807,25.9493670886076,-0.357791217771
-112.109243697479,25.9493670886076,-0.451601293140551
-111.613445378151,25.9493670886076,-0.540757073115474
-111.117647058824,25.9493670886076,-0.625985341907109
-110.621848739496,25.9493670886076,-0.707571676033626
-110.126050420168,25.9493670886076,-0.785255400753841
-109.63025210084,25.9493670886076,-0.858198544266975
-109.134453781513,25.9493670886076,-0.925046201090859
-108.638655462185,25.9493670886076,-0.984078491658858
-108.142857142857,25.9493670886076,-1.03343505902188
-107.647058823529,25.9493670886076,-1.07137694233771
-107.151260504202,25.9493670886076,-1.0965417821334
-106.655462184874,25.9493670886076,-1.10814850476904
-106.159663865546,25.9493670886076,-1.10611653758369
-105.663865546218,25.9493670886076,-1.09107997440828
-105.168067226891,25.9493670886076,-1.06429552028436
-104.672268907563,25.9493670886076,-1.02746049131071
-104.176470588235,25.9493670886076,-0.98247039850315
-103.680672268908,25.9493670886076,-0.931153242815546
-103.18487394958,25.9493670886076,-0.875020712752144
-102.689075630252,25.9493670886076,-0.815077693982223
-102.193277310924,25.9493670886076,-0.751733096389573
-101.697478991597,25.9493670886076,-0.684855366516542
-101.201680672269,25.9493670886076,-0.614006637249505
-100.705882352941,25.9493670886076,-0.538855472635881
-100.210084033613,25.9493670886076,-0.459699364881568
-99.7142857142857,25.9493670886076,-0.377935262920874
-99.218487394958,25.9493670886076,-0.296225565853673
-98.7226890756303,25.9493670886076,-0.218029821143171
-98.2268907563025,25.9493670886076,-0.146159424242419
-97.7310924369748,25.9493670886076,-0.0829256853798194
-97.2352941176471,25.9493670886076,-0.032072074251538
-96.7394957983193,25.9493670886076,0.0038032423887049
-96.2436974789916,25.9493670886076,0.0250490963915052
-95.7478991596639,25.9493670886076,0.0354639521440957
-95.2521008403361,25.9493670886076,0.0406124045927995
-94.7563025210084,25.9493670886076,0.0458547685992868
-94.2605042016807,25.9493670886076,0.0553301270888394
-93.7647058823529,25.9493670886076,0.0716614644271277
-93.2689075630252,25.9493670886076,0.0960772569185538
-92.7731092436975,25.9493670886076,0.128689948744435
-92.2773109243697,25.9493670886076,0.16876772034049
-91.781512605042,25.9493670886076,0.214945398731183
-91.2857142857143,25.9493670886076,0.265401569550724
-90.7899159663866,25.9493670886076,0.318054542477211
-90.2941176470588,25.9493670886076,0.370800569462518
-89.7983193277311,25.9493670886076,0.421761866992542
-89.3025210084034,25.9493670886076,0.46947169470141
-88.8067226890756,25.9493670886076,0.512931068793468
-88.3109243697479,25.9493670886076,0.55152512527397
-87.8151260504202,25.9493670886076,0.58485263060249
-87.3193277310924,25.9493670886076,0.612561845322877
-86.8235294117647,25.9493670886076,0.634284455684958
-86.327731092437,25.9493670886076,0.649722722505595
-85.8319327731092,25.9493670886076,0.65888577152727
