ZIP_CODE,LOG_TRANSACTION_AMT_2020,LOG_TRANSACTION_AMT_2022,lat,lon,prop_college_degree_or_higher_18plus,log_income,log_population,log_contrib_2020,log_contrib_2022,election_2020,election_2022,election_diff,state
56466,5.5254529391317835,4.189654742026425,46.2881,-94.5638,0.1524915698763581,11.033436996513277,8.057377488557991,5.5254529391317835,4.189654742026425,1,0,-1,MN
56467,7.824445930877619,6.591673732008658,46.9319,-94.846,0.3405096660808436,11.215825853040078,7.866722285136729,7.824445930877619,6.591673732008658,1,0,-1,MN
56468,9.112176123188952,7.444248649496705,46.4929,-94.2976,0.4278215223097112,11.515920973950028,8.417372856134026,9.112176123188952,7.444248649496705,1,0,-1,MN
56470,9.015055148790369,8.535229553902337,46.9377,-95.0383,0.2838651073010105,11.119882876860622,9.275003885301905,9.015055148790369,8.535229553902337,1,0,-1,MN
56472,5.303304908059076,5.860786223465865,46.6257,-94.2684,0.3166180758017493,11.306245639686685,9.025816391627028,5.303304908059076,5.860786223465865,1,0,-1,MN
56473,6.654152520183219,5.220355825078324,46.3607,-94.4895,0.2515183994283673,11.361521010810995,8.232971790593437,6.654152520183219,5.220355825078324,1,0,-1,MN
56474,5.5254529391317835,7.576097340623111,46.6938,-94.4477,0.2098138747884941,11.00079899547119,8.39366870513074,5.5254529391317835,7.576097340623111,1,0,-1,MN
56479,5.860786223465865,4.060443010546419,46.3536,-94.7633,0.2209178228388474,11.000765618191101,8.591743922680534,5.860786223465865,4.060443010546419,1,0,-1,MN
56484,7.3395376954076745,5.707110264748875,47.0877,-94.5847,0.2903460837887067,11.112731440260855,8.165363632473982,7.3395376954076745,5.707110264748875,1,0,-1,MN
56501,7.707512194600341,5.8916442118257715,46.8172,-95.8453,0.2995730384265416,11.156778952815396,9.786054455644033,7.707512194600341,5.8916442118257715,1,0,-1,MN
56511,7.365812837209472,5.017279836814924,46.8719,-95.9881,0.2751322751322751,11.406175095023348,7.692569648067906,7.365812837209472,5.017279836814924,1,0,-1,MN
56515,7.827240901752812,7.310550158534422,46.3142,-95.7144,0.3370974487662066,11.208436274202066,7.995306620290822,7.827240901752812,7.310550158534422,1,0,-1,MN
56520,6.853299093186078,7.353081920515432,46.2797,-96.5622,0.2201926270342079,11.078937417928826,8.281977058867758,6.853299093186078,7.353081920515432,1,0,-1,MN
56528,6.621405651764134,5.5254529391317835,46.5554,-95.7644,0.2827535159141376,11.283512300642423,7.419979923661835,6.621405651764134,5.5254529391317835,1,0,-1,MN
56531,6.90875477931522,7.244941546337007,45.9953,-95.9671,0.2041078305519897,11.219667878185263,7.632885505395133,6.90875477931522,7.244941546337007,1,0,-1,MN
56535,7.01211529430638,7.267525427828172,47.66180000000001,-96.0122,0.2099898063200815,11.090354888959125,7.122866658599083,7.01211529430638,7.267525427828172,1,0,-1,MN
